line,review
175,"I found this tour very refreshing. Travelling through Brazil during the world cup, it was hard to get a sense of what real life is like. However, our guide (Simoney (sp?)) was great in explaining different things to us. Her english was good and open...More"
176,"favelatour.org - guides name was Dembore
THIS WAS AWESOME. Dembore lived in Rochina and you could tell straight away he was heavily involved in his favela community talking to many many locals we ran into.
The tour changed our views of what life in a...More"
177,"Tour takes to the most prosperous Favela and this is not reality of poor. Be prepared for long walk down steep incline. Interesting for about 10 minutes. You can see Favelas from the beaches in Rio and that is close enough, because the government approved...More"
178,Today we did the favela tour of Rocinha with Zezinho. It was everything he advertised. He met us (group of 10) at the time and place nominated and we headed off via the bus. The bus took us to the top of the favela and...More
179,There are several different ways of visiting the Favelas. Personally I find jeep tours quite repulsive. Disturbing residents and penetrating to their living space for some quick photo opps as you were in a zoo….this is not the way how good-hearted and responsible people should...More
180,"We chose the Favela tour over the sugar loaf as we wanted an authentic experience, so I suppose that was our first mistake. We wait for almost 30 mins for the tour bus to pick us up and when it did they acted as though...More"
181,Best thing we did in Rio! Would definitely recommend anyone to do this! Marcelo was very informative
182,We booked our tour a few days before and managed to get a tour with Marcelo himself. He was very informative with great info about the problems everywhere in Brazil. It was very safe and interesting and gave us a good insight to life in...More
183,We were disappointed with our guided tour of the favelas to our dismay. Our female guide spoke too quietly and monotonously. We felt she didn't really care and sugar coated or dismissed the true story when asked. We also did not receive a hotel pick...More
184,"Don't get me wrong, Rio is an amazing destination for the typical tourist, beautiful landscape, amazing beaches, great nightlife etc. But this is a MUST do for anyone who wants to experience the reality of life for the majority of modern day Cariocas, its not...More"
185,We used Marcelo Armstrong's Favela tour for a guided tour of the Rocinha and Vila Canoas favelas. It was a real eye opener to see how these communities live and how misguided many of our media reports are in the UK. Guide could have been...More
186,"I don't know who conducted our tour but it was arranged through our hotel. Overall, the tour itself is definitely an eye opener!
Call the favelas what you want, but I call it a slum! I think the government of Rio and Brazil should be...More"
187,"We were initially unsure of doing the favela tour but decided to book in on our last day in Rio. Contacted Favela Adventures and they were able to fit us in at very short notice. Our guide Dembore, was fantastic. He is proud to call...More"
188,Visiting the Vidigal Favela in Rio de Janeiro was definitely for me a learning experience. It is best to be accompanied by a tour guide in order to learn from the history of the favela and understand the living conditions of its habitants. During my...More
189,"We were four Norwegians who chose favelatours.org because it seemed to be the only one owned and ran from the favela. We met our guide(Dembore) outside our apartment and left for Rocinha. It is a pleasant place really, if i were to live in Rio...More"
190,"I was at first hesitant to doing this kind of tours but did it anyway through the Marcelo Armstrong's Favela tour to make good use of my available time in Rio. Our guide,
Brenda, was knowledgeable and passionate about Rocinha and Vila Canoas communities.
I...More"
191,A surprising start to this tour as once we met Zezinho we walked to a nearby bus stop and took a local bus to the top of Racinho. He is an interesting character full of local knowledge as he lives there. He is clearly well...More
192,"Walking around the Favela in Rio was an amazing experience. The people were friendly, seemed happy and very active walking up and down the steep roads. Our tour guide Dembrose, was relaxed, easy going and allowed us the time to soak in the culture and...More"
193,At first I didn't really like the idea of peoples' lives being a tourist attraction but i am so glad I did this tour! First of all it really gives your own life perspective. The tour guide was fantastic (so sorry i don't recall your...More
194,"We did the Favela Tour with Marcelo Armstrong's company. It was a little on the pricey side for a budget traveller but was well worth it. Our guide, Leo, was extremely knowledgeable about favelas, spoke perfect English and gave us his take on the current...More"
195,"We had a favela tour last week, we were impressed!If you are in Rio you have to visit the Favelas it is safe and plus half of the money you pay for the tour will go to the children association!
We had a great tour...More"
196,If you want to do a Favela tour in Rio this is the company to do with. You get to walk right through the favela from the top to the bottom. There are some paintings to purchase along the way as well as craftwork from...More
197,"Super informative and diverse tour. Very well organized too. Leo didn't hold anything back when describing the culture, corruption, and history of the favelas. He was open to all our questions. Must do in Rio."
198,Had an outstanding tour with our passionate and knowledgable guide Alfredo. Only an introduction to flavelas but informative and a must do in my opinion for a more complete picture of Rio. Good pace and mix of driving and walking. I was especially surprised to...More
199,"Our tour guide took us to this place not knowing what to expect. Favela is supposed to be the slum areas in Rio, but for me this place did not look like a slum at all! They had a cable car to commute to and...More"
200,The reputation of the favelas is well deserved but they are trying hard to improve this and this tour shows you how they are doing this very successfully. It was a great tour that is very informative and we met some lovely locals who we...More
201,"My experience with Marcelo Armstrong’s favela tour was many years ago, but seeing all the positive reviews, I feel obliged to tell the other side of the story also. Back in 2005, my class traveled to Rio de Janeiro, and we were considering the favela...More"
202,Sure you may see the different favelas in the distance as you guide around Rio De Janerio but the true beauty of it all is actually IN the favela. Get a feel for how the locals live here - and their incredible views! They are...More
203,"We really enjoyed seeing how the Favela works and to here about what it's like since the pacified the Favela.the guide was excellent and gave us a real insight into life in the past and her hopes for the future of the Favela.
We never...More"
204,This is a review for the Armstrong Favela Tour which visited the favelas of Vila Canoas and Rocinha. This was an excellent way of seeing the favelas and getting a first-hand understanding of them and their current conditions. The tour uses a minibus to go...More
205,"I was really impressed by this tour, in fact it was my favorite in Rio. The tour guide lives in the favela so he was well know and very knowledgeabe of the people living there. At no time did I ever feel in danger or...More"
206,"If you want a truly authentic personable experience then without a doubt use rocinhafavelatour.com This is a truly inspirational company. The tour guides are young adults born and raised in the Rocinha Favela, they are trained in tourism and customer service and know the favelas...More"
207,"We took this tour to see the other part of Rio.
We were quite impressed by the knowledge of our guide, and liked the other side of life we saw in the tour.
We also did not feel unsafe or threatened at all during the...More"
208,"We did a tour through Marcelo Armstrong's company December 30th and we were fascinated by the way people live in the favelas (we saw Rosinha and another small one by the golf course), no formal addresses, no taxes paid, sewage flows freely on the streets,...More"
209,We booked a favela tour for Dec 28th with Luiz - co-founder and CEO on Dec 12th by email in English. Everything was confirmed and booked. When we arrived at the office at the agreed time on the 28th we were told the tour had...More
210,"This is a tour by locals, those that live inside the biggest favela in Rio - Rosinha. Walking tour takes you from the hilltop down to the highway in about four hours. You will be introduced to the locals' life, their approach to environment, housing,...More"
211,We did a walking tour with Zezinho and it was amazing and an eye opener. All you hear is how dangerous and dirty favelas are with all the drug dealers and guns. These people are just like any other person you walk by on the...More
212,"We signed up in advance to do a tour of Rocinha by Zezinha da Rocinha who runs Favela Adventures. People told us we were crazy and that the favelas were not safe. When you visit a foreign city, you want to see everything the city...More"
213,I went on the tour today and I don't even want to wait until I get back to the states to write a review. The tour was excellent. Rachel was our guide and she spoke perfect English and was extremely friendly. The information was so...More
214,"This was honestly one of the highlights if my Rio vacation.
It was an eye-opening experience to see how many of the people of Rio actually live. They do NOT all live in seaside apartments in Ipanema and Copacabana.
Was picked up by Brenda and...More"
215,"All in all, we really can recommend the favala tour with ""Be a local"":
Why?
- Very easy going booking via e-mail on short notice (paying cash on the tour day)
- We were picked up at our hotel in time
- We enjoyed the...More"
216,"I did the Tour with Zezinho and Jody. It was super fun, very interesting and I felt safe all the time. It really changed my opinion about Favelas, and I would recommend to anyone to do the tour with Zezinho (favelatour.org). He grew up here,...More"
217,"note the .org; this tour gives back to the Rochinha community. It is *part* of the Rochinha community.
Both the partners have lived outside Brazil for years and their English is fluent. They live and work in Rochinha, know lots of the locals, and are...More"
218,"Stumbled across these guys one day in Rocinha last month and ended up coming back and doing a tour with them and surfing the next day. Really cool project that gets sustainable tourism, It is a favela tour company run by local kids 18-20 years...More"
219,"Very interesting! Perfect way to see another side of Rio, at a very reasonable price.
Our guide spoke well English, and told us both of the Favelas and current situations in Rio."
220,"I have been on the favela tour twice, as I was visiting with different people.. I really enjoyed both experiences. You begin by hopping on the back of a motorbike with 1 of the local taxi drivers (no helmet required) as they wind their way...More"
221,"My cousin and I went on a favela tour while we were in Rio for a few days, and I will say that the tour was the best tour I have ever been on. *To be sure, I am referring only to favela tour at...More"
222,"People...everyday, hardworking people. Seeing the daily lives of people while riding and walking through the favela's was an eye opener. It is always best to see things for yourself. Our tour guide was wonderful in that she was open and shared the realities, culture and...More"
223,"What a great trip. We thoroughly enjoyed the experience from start to finish and this trip provided us with a very personal, insightful and knowledgeable experience. Well done"
224,"Stayed in Rio for a business trip, so we had to choose our activities carefully to maximize our time. I would choose this again everytime! Our guide was extremely knowledgable and made us feel at home in the favela. Cant recommend this enough!"
225,"Just incredible to be able to walk through the favela. A place where before you (even now) could be shot and killed.
Intersting to see how everyone lives and how life is improving. Also to appreciate how well you have it in life.
Very informative...More"
226,The Favela Tour with Marcelo Armstrong is a 'must see' during a trip to Rio. My impression of Favela's prior to the tour was that they were a depressing place with unhappy people and little infrastructure. I could not have been more wrong; our tour...More
227,For visitors in Rio a favela trip is a must. It is a vial part of the life in Rio a one as to get a notion of that part. The tour was to a top flat of the biggest favela in South America with...More
228,"We went on a great tour with an NGO - Project Favela.
The tour was exactly what we wanted, simply just to see the daily life in the favela, no commercial stuff, no spiel, to be able to see and contribute to the community, not...More"
229,"The tour guide was informative, pleasant and accommodating. We enjoyed the tour immensely and gained a new perspective on favelas."
230,With my husband we have always been curious about the favelas. They are huge and you can see a lot of them all around Rio. We were quite scared and got advised never to go by ourselves.. that's why we choose this tour after checking...More
231,"We were picked up 9am and taken to Rochina, on the way the lovely Brenda talked about the tour and what the money goes towards and explained about prejudices and truths of Favela's, she was very honest and answered all our questions. We stopped at...More"
232,"After seeing the movie City of God, I thought Brazil must be one of the scariest places in the world. After a couple of hours there, I learned the US is a much scarier place. However, I was still curious about the Favelas. Thanks to...More"
233,"We took a favela tour with favelatour.com.br. At first my parents were reluctant, worried it would be invasive, but they completely changed their mind by the end of the tour. Ourguidewas great, extremely informative - we really got great socio economic info about life inthe...More"
234,"A drive through Rocinha stopping at a couple of places for photos and some tourist stalls that just happen to be there!!. The stalls were much cheeper than the hippy fair, and the wife found a couple of things she liked. From a house near...More"
235,"The favela tour at favelatours was very nice! The lady was very enthusiastic and she knew everything about the favelas. She brought us to interesting places. I will never forget the the tour, it was very interesting to visit and to know more about the...More"
236,"We went on the tour with Patrick from Don't Be a Gringo Be a Local.
I have to say this was one of my favourite tours in Rio. Just an interesting tour through the favelas. We met many locals and as much as people say...More"
237,"I came away with a new understanding of favela life in Rio thanks to my guide Rachel and favelatour.com.br (Marcelo armstrong tours) Trip was safe, educational and the tour gives a large portion of the reasonable fee back to the favela. Parts of the tour...More"
238,"We emailed Zinzinho a resident of Rochina and he arranged for us to be collected by dambar another resident of Rochina... Having read reviews about their tour we decided to go with them and we were not disappointed.
I was apprehensive about the safety of...More"
239,"Before I start saying how amazing my experience in the favela was, I wanted to address the No.1 concern I believe many people have - visiting a favela in Rio, will I be safe?
A lot of travel books/guides I read before I went there...More"
240,"A must do in Rio is the Favela Tour. Gives you a good insight in to the community, politics and current changes. We visited two favelas and had a great cocktail in a favela bar. The tour was well organised and the guide well informed....More"
241,I was born and raised in Rio. I grew up in Copacabana. I would say it is a upper middle class neighborhood. Even tough the favelas were next to me and it is part of Rio is I never had the interest or I was...More
242,I was a bit concerned at first. I didn't want to go to voyeuristic visit or intruding people's lives. After reading the reviews I thought I'd have to make my own mind by doing the tour. It was sensational! We've had amazing guide and driver...More
243,"The best day we had in Rio. The tour was very interesting and we felt safe all the time. I highly recommend to everyone! Other tours atm are organized by operators, who use motor taxis. We had the transportation done by a van, it was...More"
244,"Originally I wasnt keen on this idea of a tour. I was persuaded by my wife as the idea of visiting the favela felt voyeuristic to me. I preferred to just get a taxi to the edge of the nearest favela , briefly look and...More"
245,The favela tour with Rachel was top 3 most memorable moments of Brasil. Walking through the narrow walkways through favelas close enough to see in their windows ...wow! what a wonderful experience. The Brasilian residents were very friendly and seemed to welcome our tour. Being...More
246,"Our family booked a private tour and we were fortunate to have Marcelo Armstrong as our guide to Rocinha and Vila Canoas. We had younger children with us, with short attention spans, but Marcelo was very accommodating. It was the right combination of driving and...More"
247,"We really enjoyed this tour, we went with dont be a gringo be a local tour. They also have a lot of other tours, the favela tour was R70 each. Part of the money goes back to the people of the favela's building support systems...More"
248,"Wow, exciting & interesting 3-hrs tour. After this trip, you change your mind about Favelas! Pick-up service from Hotel."
249,Went with FavelaTour to Rocinha and Vila canoas. Informative and can see daily life. Walking a bit through main road. Excellent and breathtaking views of size. Visit small education project sponsored by tour agency. Guide knowledgeable. Pickup a bit annoying. Went all along ipanema and...More
250,We selected a guide through the concierge at the JW Marriott. Our guide was knowledgeable. We visited Rocinha the largest Favela in Rio. We saw a lot of police officers and never felt threatened. We walked the streets and climbed to the top floor of...More
251,I didn't know too much about the favelas in Rio prior to my visit - I was under the assumption they were poverty and crime ridden slums. This tour was a fascinating insight into the history and development of the favelas in Rio and quickly...More
252,"My fiance and I did this tour on January 25th, 2013. This was the most insteresting and informative tour on our trip to Rio. Our tour guide was Leon. He was doing the tour in both English and French. He was very intelligent and knew...More"
253,I read about Favela Tours in a guide and decided to book them because they support the community (a school/kindergarten). The pick up is in differrent hotels in Copacabana but if you stay in another part of the city you have to go there by...More
254,"It may not feel comfortable to walk through this kind of poverty, but it's so easy to spend time in Rio and forget that 20% of its population lives in these un-mapped areas. Taking a tour will give you a window into this part of...More"
255,"Growing up in the Philippines, I have been and seen poverty. Compared to Manila's shantytowns, favelas in Rio are not as smelly and actually has more ""space."" The favela we visited is in the area of Rocinha, the largest in Latin America. Yesterday, I paid...More"
256,"A very informative tour with the best that Rio can offer.
They show things in a bright light and want us to be happy with what we have.
We felt really safe and well accompanied to visit and it shattered our view of favelas as...More"
257,"The weather was a bit rainy that day in Rio so we organised a Favela tour through our hostel - ""Don't be a Gringo - Be a Local"". They were great - the guide and driver picked us up from our hostel and gave us...More"
258,"Had originally tried to book a tour through someone who lives in a favela, but they didn't reply to my email to make a booking so we went with favela tours which was a very close 2nd choice. In the end we were very happy,...More"
259,Unbelievable that people can actually be happy living in this. It makes you think of how fortunate you are for all that you have. It's all just stuff in the end and life is what living is all about. This was a real eye opener...More
260,"The favela we went to visit was Complexo do Alemo, once one of the most dangerous favelas fueled by kids with AK-47s and drug lord disputes. The contrast was amazing to what it is today - with the Olympics coming the police pacified the area,...More"
261,This is a great tour if you want to experience the truthful and real view of what a favela is .The guide was informative He spoke perfect English and gave an honest and real explanation for life in the favela.Thanks Roberto
262,"Apparently favela tours are very ""in"" now with tourists and when I first heard about them I was concerned about it being voyeurism. I guess some of the tours are but not this one. All the money made on these tours goes right back into...More"
263,"I went with Favela Tours (http://www.favelatour.com.br) run by Marcelo Armstrong. The tour takes about 3 hours (note to TripAdvisor - this isn't a multi-day tour so please don't delete this time!) and visits Rocinha and Vila Canoas with a very knowledgeable guide, plus a visit...More"
264,"If you want to experience the real heartbeat of Rio book a tour to visit a Favela or two. These amazing, depressing, exciting and colourful communities are a must to be seen and they represent 25% of Rio's population. Our excellent guide ""Marina"" took our...More"
265,"We signed up for this tour through Favela Tour, which picked us up in Copacabana and took us west through Rio to the largest favela in the city, the 100,000+ Rocinho. We stopped several times in the community, for different views and discussions about the...More"
266,"If you want a well rounded, truthful and real view of what a favela is, I suggest you take a tour through one with these guys, Favela Tours. This tour was one of my trip highlights and something I would recommend to anyone traveling to...More"
267,"Some bad reviews are posted on this page about Favela Tours, but they're all talking about other companies. We did the original tour and loved it (http://www.favelatour.com.br).
Actually, information wise, it was the best tour I've ever done. There wasn't a single question our guide...More"
268,"I work for a local tv station and wanted to take Marcelo Armstrongs tour and interview him.
First, being an northeast (United Statian), I am time sensitive. No problems here! The Favela Tour people communicated with me promptly and confirmed my pick up time.
The...More"
269,Don't be put off by all you hear about the Favelas in Rio. The Favela Tour is an organised tour that takes you to 2 of the largest Favelas in the city. The first is Rocinha and the second is Vila Canoas. There is an...More
270,"This gives you an idea of all aspects of Rio, bringing you into 2 Favelas where you will feel very save and confortable. Very interesting and different tour and at the same time you are helping people since some of the money you pay goes...More"
271,"A great tour if you want to see another side to Rio. We were a little concerned that it would be voyeuristic, but it is not, due to the fact that you have the opportunity to meet and talk to local people along the way....More"
272,Great tour - you'd walk on the high street of a big favela as well as inside the maze of alleys of a small favela. You'd also visit a centre that provides a healthy and collegiate environment for children to play and work on small...More
273,"I think it's important to learn about the rest of the world. Life here is different from other places in the world. If you can afford to go to Rio, do not miss out on a chance to go here - stop in a daycare...More"
274,Rocinha is the largest favela in Rio de Janeiro. Very interessting to follow a good guide throught this area. Do it during the day. No danger. I felt very safe all the time... :-)
275,Axel was a great tour leader and I felt safe on the tour.
276,Run by a french guy who actually lives in one of the Favelas
277,We booked the favela tour with Zezinho at favelatour.org it was a wonderful experience. Zezinho lives at the favela called Rocinha. Everyone meets at Ipanema beach then catch a bus up to the top of the favela and walk our way down. It was very...More
278,We signed up for the Favela tour through our hotel (R$75 pp). Our tour guides name was Everaldo and he did an excellent job. The tour lasted about three hours and encompassed two favelas (Rocinha and villa canoas). Our guide was very informative and I...More
279,"I took the Marcelo Armstrong Favela Tour.
Whenever I travel I'm keen to see beyond the tourist sights and understand something of the country, its politics, culture, history and how ordinary people live. The 1/2 day tour through Marcelo Armstrong provided this for my visit...More"
280,"My wife and I went on the Marcelo Armstrong tour of two favelas, primarily Rocinha, during Carnaval week. Our tour guide was Simone, who was well informed and provided an historical and cultural context to the development and role of the favelas in Rio de...More"
281,"I recently had the opportunity to live in the favela of Vidigal for 3 months this last year, and get to know the community with the help of Rodrigo from cariocafreeculture. I also took his walking tour to Rocinha where he grew up and he...More"
282,"I made this tour with Marcelo Armstrong, the guide was Marina, excellent guide, very knowledgable, perfect English. Everything was very well organized, very precise, from the first contact (I directly phoned from the hotel), to the pick up in the hotel, general organization and information...More"
283,Love the tour...was one of the most amazing experiences....to get a glimpse inside of the slums and to see how beautiful the people are and how happy they are was an amazing experience....a must-do while in Rio
284,So amazing to see how the poorer people live. The best part of the tour though is the motorbike ride to the top of the favela - its PETRIFYING!! My driver was racing with another and at one point we were in the middle of...More
285,"The guide Everaldo, was an excellent representative of the lovely Brazil ,expressing his
devotion to give us a wide understanding of the social situation of the favelas in the brazilian society and its current and future impact on the country.
His critic view while clever...More"
286,"Amazing, simply fantastic. A friend and I went to Rio and decided we had to see the Favelas to get to understand more about Brazil as it's such an important part of the country.
We were the only members of the tour, which made it...More"
287,"I worried that the walking portion of the favela tour would be too extensive for one of our three travelers. And, it was! But our guide was generous in finding a place for our traveler to sit and wait for us. Sometimes the waiting was...More"
288,"Doing a favela tour in Rio de Janeiro is truly worth it for couple of reasons. If you select a good company, such as Favela Tour/Marcelo Armstrong, they do provide excellent guides very knowledgeable about the history, past and present issues.
Our guide was superb...More"
289,"We booked this tour by email, then had to reconfirm by phone in Rio which was a hassle. The owner, Marcelo Armstrong, was not doing our tour--said he had to have hand surgery that day. So we had a substitute, Ricardo, who was not from...More"
290,"Good or not, it depends what you want and how experienced you are. if you have only one day and you dont speak portuguese and have no friend who lives in a Favela - go for it and you will see a quick insight. for...More"
291,"Having been recommended the tour in the UK we were very disappointed with the guide on the day. She spoke to us for 10 minutes in the van while we drove to Rocinha, telling us a little bit about the tour and then told us...More"
292,"Book the through ""bealocal.com"" which was really cheap. They picked me up at the door of my hostel and dropped me back when it was finished.
The tour guide was amazing and had perfect English. It made me understand the way of life so much...More"
293,"I was slightly dubious of this ""tour"", but some fellow travellers were keen. It was surprisingly good and importantly money is going back into the community - helping to fund a school which has got a disproportionately high number of favela children into university."
294,"Booked my afternoon tour through Marcelo Armstrong's Favela Tour (http://www.favelatour.com.br/). The site insists you book a reservation via telephone once you arrive in Rio due to possibilities of delays. Nonetheless, i'd recommend emailing them for an informational packet and pre-registration. The company provided many options...More"
295,"our guide company was run by Marcelo Armstrong (www.favelatour.com.br), our guide was Alfredo. The first visit was Rocinha which is one of the largest and we walked the maze of streets to see that they now have banks and shops, they are really small villages...More"
296,"Favelatour.com.br was a very eye opening view into the favela's without feeling too voyeuristic (like the open jeep ""safari"" type tours). There is a school in one of the favelas that is funded by the proceeds from the tours. They picked us up at our...More"
297,"One Saturday morning with a clear blue sky we took off from our hotel (Orla Copacabana, recommendable) on Copacabana to go on a tour to the biggest favela in Rio de Janeiro: Rocinha. We had bought the tour from Bananí Turismo(www.banani.com.br), a local Danish/Brazilian agency,...More"
